CustomerID,Frequency,Monetary,Recency,R_Quartile,F_Quartile,M_Quartile,RFM_Score
12437.0,201,4896.66,1,4,4,4,444
17540.0,26,570.4,8,4,2,2,422
16293.0,120,2236.7400000000002,8,4,4,4,444
17381.0,110,20272.430000000004,8,4,4,4,444
12989.0,68,6854.51,3,4,3,4,434
17293.0,135,1875.1100000000001,8,4,4,4,444
15144.0,218,6530.039999999999,8,4,4,4,444
14440.0,55,2357.68,8,4,3,4,434
14329.0,269,4928.740000000002,8,4,4,4,444
12775.0,67,1351.2399999999998,17,3,3,3,333
14911.0,5903,132572.62000000005,1,4,4,4,444
14205.0,39,218.78,10,4,2,1,421
15189.0,232,15802.140000000003,1,4,4,4,444
13650.0,98,1809.3400000000001,16,4,3,4,434
16079.0,21,1352.0,16,4,2,3,423
14335.0,63,468.26,16,4,3,2,432
17828.0,82,1599.97,8,4,3,3,433
16057.0,134,2140.2200000000003,4,4,4,4,444
15253.0,55,915.3,16,4,3,3,433
15594.0,104,1767.5299999999995,15,4,4,4,444
13277.0,8,258.4,15,4,1,1,411
15270.0,48,2298.2,15,4,3,4,434
12757.0,377,4227.7,15,4,4,4,444
16327.0,319,3844.2199999999993,14,4,4,4,444
13860.0,77,1240.0000000000002,1,4,3,3,433
17329.0,33,523.11,14,4,2,2,422
18109.0,454,7925.320000000003,1,4,4,4,444
13782.0,115,912.0000000000001,12,4,4,3,443
15747.0,93,974.0400000000001,12,4,3,3,433
16024.0,64,251.23999999999992,12,4,3,1,431
15009.0,182,1261.7799999999997,12,4,4,3,443
17885.0,64,190.18999999999997,12,4,3,1,431
15054.0,114,302.0999999999999,12,4,4,2,442
13258.0,38,698.5799999999999,11,4,2,3,423
13758.0,117,3190.55,11,4,4,4,444
12839.0,316,5583.619999999999,2,4,4,4,444
16094.0,67,1041.83,11,4,3,3,433
13269.0,320,5315.920000000001,1,4,4,4,444
18101.0,41,223.64999999999998,11,4,2,1,421
14480.0,13,279.05,11,4,1,1,411
15619.0,3,336.40000000000003,10,4,1,2,412
15197.0,36,656.4399999999999,8,4,2,3,423
14180.0,248,4640.7699999999995,10,4,4,4,444
17772.0,53,182.76999999999998,10,4,3,1,431
16992.0,95,1601.86,10,4,3,3,433
14711.0,359,2838.2000000000007,10,4,4,4,444
14836.0,6,102.44999999999999,10,4,1,1,411
14432.0,382,2255.5099999999984,9,4,4,4,444
13658.0,112,2421.4700000000007,9,4,4,4,444
14653.0,237,1947.55,1,4,4,4,444
14755.0,237,4965.379999999999,9,4,4,4,444
14963.0,198,1487.7999999999997,9,4,4,3,443
12433.0,420,13375.869999999999,0,4,4,4,444
14875.0,50,1448.7199999999998,9,4,3,3,433
14713.0,341,2664.2599999999993,9,4,4,4,444
17528.0,260,3540.099999999999,1,4,4,4,444
17426.0,272,5022.259999999998,4,4,4,4,444
13868.0,33,3192.54,7,4,2,4,424
16283.0,168,1531.5099999999998,5,4,4,3,443
17618.0,78,971.5799999999999,5,4,3,3,433
13435.0,103,3794.4900000000002,5,4,4,4,444
12490.0,245,5417.93,5,4,4,4,444
14060.0,203,6135.379999999999,4,4,4,4,444
15031.0,111,668.1400000000001,4,4,4,3,443
17383.0,51,199.29000000000002,4,4,3,1,431
15318.0,33,312.62,3,4,2,2,422
12753.0,230,21024.010000000002,3,4,4,4,444
16528.0,17,244.41,3,4,1,1,411
16711.0,22,1651.0300000000002,3,4,2,4,424
12650.0,20,314.44,3,4,2,2,422
12347.0,182,4310.0,2,4,4,4,444
12358.0,19,1168.06,1,4,2,3,423
13436.0,12,196.88999999999996,1,4,1,1,411
16891.0,203,809.6999999999996,1,4,4,3,443
16933.0,49,530.08,1,4,3,2,432
16218.0,90,3054.87,29,3,3,4,334
17968.0,85,277.34999999999997,373,1,3,1,131
14729.0,71,313.48999999999995,373,1,3,2,132
15165.0,27,487.75,373,1,2,2,122
15111.0,84,1567.4799999999998,29,3,3,3,333
17964.0,104,471.70000000000005,31,3,4,2,342
15240.0,83,1685.5700000000002,44,3,3,4,334
13520.0,95,3487.75,58,2,3,4,234
15038.0,133,665.5899999999997,43,3,4,3,343
13506.0,29,452.82000000000005,312,1,2,2,122
15716.0,118,1118.81,145,1,4,3,143
16718.0,45,623.7500000000002,369,1,3,2,132
16638.0,95,1676.47,22,3,3,4,334
15356.0,519,2766.4999999999995,31,3,4,4,344
17470.0,78,1125.07,44,3,3,3,333
13569.0,85,373.75,17,3,3,2,332
16221.0,97,864.86,36,3,3,3,333
15973.0,6,99.77,235,1,1,1,111
18043.0,121,559.51,24,3,4,2,342
13240.0,67,663.65,96,2,3,3,233
17442.0,140,2210.2599999999998,29,3,4,4,344
17456.0,17,249.85999999999999,365,1,1,1,111
17865.0,389,10158.54,30,3,4,4,344
13209.0,329,5820.16,30,3,4,4,344
17890.0,94,602.0900000000005,322,1,3,2,132
14150.0,26,658.6400000000001,35,3,2,3,323
17633.0,72,1242.34,31,3,3,3,333
17496.0,10,271.04999999999995,358,1,1,1,111
12980.0,24,7092.0599999999995,155,1,2,4,124
16316.0,156,2755.56,64,2,4,4,244
15789.0,25,351.3,358,1,2,2,122
15204.0,9,316.58000000000004,357,1,1,2,112
17358.0,59,365.84999999999985,303,1,3,2,132
15562.0,1,134.55,351,1,1,1,111
16875.0,123,2023.4700000000003,64,2,4,4,244
18226.0,245,5192.1,38,3,4,4,344
15799.0,98,884.1400000000001,75,2,3,3,233
18171.0,56,1208.51,58,2,3,3,233
16303.0,167,5305.830000000002,25,3,4,4,344
12736.0,4,234.00000000000003,332,1,1,1,111
17569.0,29,344.13999999999993,332,1,2,2,122
14040.0,241,3542.19,40,3,4,4,344
17048.0,48,864.3199999999999,115,2,3,3,233
14114.0,15,386.53,273,1,1,2,112
16493.0,62,1329.66,72,2,3,3,233
15316.0,1,165.0,326,1,1,1,111
16618.0,97,2630.6399999999994,31,3,3,4,334
13615.0,24,399.9900000000001,312,1,2,2,122
13815.0,177,4014.9100000000008,22,3,4,4,344
16222.0,137,846.7200000000007,318,1,4,3,143
14341.0,130,2166.38,45,3,4,4,344
14248.0,8,302.58,318,1,1,2,112
13837.0,19,271.24,211,1,2,1,121
17118.0,10,157.02,317,1,1,1,111
13754.0,12,282.6,151,1,1,1,111
15057.0,25,1489.5,275,1,2,3,123
15365.0,151,1330.4499999999998,25,3,4,3,343
13161.0,8,112.75,313,1,1,1,111
14502.0,631,2351.0200000000004,19,3,4,4,344
18202.0,68,1396.9899999999998,199,1,3,3,133
16716.0,3,319.8000000000001,266,1,1,2,112
14457.0,4,113.64,310,1,1,1,111
16405.0,5,167.25,302,1,1,1,111
13584.0,24,142.40000000000003,306,1,2,1,121
13706.0,20,330.78999999999996,302,1,2,2,122
16027.0,17,852.12,91,2,1,3,213
12505.0,1,-4.5,301,1,1,1,111
13717.0,103,1432.2600000000002,32,3,4,3,343
16073.0,2,94.35,291,1,1,1,111
16509.0,13,363.7,296,1,1,2,112
16126.0,117,6287.77,29,3,4,4,344
13414.0,24,1390.5,133,2,2,3,223
15321.0,106,2650.7300000000005,49,3,4,4,344
15065.0,158,3135.9800000000005,37,3,4,4,344
16441.0,24,381.2,67,2,2,2,222
16573.0,46,648.4099999999999,73,2,3,3,233
13285.0,187,2709.1199999999994,23,3,4,4,344
17499.0,40,622.88,289,1,2,2,122
14276.0,75,1019.3899999999999,88,2,3,3,233
14880.0,47,706.19,77,2,3,3,233
12945.0,23,462.95000000000005,288,1,2,2,122
13501.0,53,1310.4699999999998,242,1,3,3,133
13666.0,12,84.65,60,2,1,1,211
13792.0,13,195.55,66,2,1,1,211
14036.0,38,626.6499999999999,284,1,2,2,122
13292.0,31,578.94,38,3,2,2,322
17462.0,28,662.94,51,2,2,3,223
16078.0,1,79.2,283,1,1,1,111
15104.0,71,1002.5399999999997,166,1,3,3,133
15400.0,13,666.7,92,2,1,3,213
16225.0,134,1096.32,44,3,4,3,343
13975.0,340,2503.2300000000005,31,3,4,4,344
14854.0,131,2749.89,78,2,4,4,244
16475.0,28,544.3,88,2,2,2,222
15049.0,3,121.17000000000002,273,1,1,1,111
16807.0,67,1121.59,142,2,3,3,233
16804.0,60,536.99,23,3,3,2,332
13730.0,43,752.5999999999998,135,2,3,3,233
18142.0,18,1014.8999999999999,151,1,2,3,123
15985.0,38,1037.42,123,2,2,3,223
15249.0,358,6657.3600000000015,31,3,4,4,344
12635.0,101,1689.18,89,2,3,4,234
14552.0,58,165.07000000000005,151,1,3,1,131
13549.0,52,916.1200000000001,25,3,3,3,333
13154.0,1,-611.86,144,1,1,1,111
14029.0,15,467.65999999999997,63,2,1,2,212
16774.0,49,654.92,67,2,3,3,233
18143.0,61,1000.1599999999997,116,2,3,3,233
15815.0,49,2100.6000000000004,63,2,3,4,234
15232.0,31,612.0600000000001,113,2,2,2,222
13461.0,27,1445.0,38,3,2,3,323
13379.0,97,572.5599999999998,26,3,3,2,332
17483.0,21,414.04,65,2,2,2,222
17695.0,35,765.3399999999999,131,2,2,3,223
14885.0,15,765.3199999999999,131,2,1,3,213
13388.0,36,627.1500000000001,121,2,2,2,222
15342.0,26,391.75999999999993,116,2,2,2,222
13850.0,94,1586.8099999999995,88,2,3,3,233
